game_id,season,home_team,away_team,season_type,week,game_date,home_score,away_score,result,home_win,home_elo_rating,away_elo_rating
1999_10_WAS_PHI,1999,PHI,WAS,REG,10,1999-11-14,35,28,7,1,1449.8843550179583,1515.4208490656536
1999_11_ATL_TB,1999,TB,ATL,REG,11,1999-11-21,19,10,9,1,1522.6192271514203,1427.9646021398278
1999_11_BAL_CIN,1999,CIN,BAL,REG,11,1999-11-21,31,34,-3,0,1395.6763794290953,1490.9431877274828
1999_11_BUF_NYJ,1999,NYJ,BUF,REG,11,1999-11-21,17,7,10,1,1470.7870351849997,1534.1307653059391
1999_11_CAR_CLE,1999,CLE,CAR,REG,11,1999-11-21,17,31,-14,0,1415.4032118188622,1478.2014589316834
1999_11_CHI_SD,1999,LAC,CHI,REG,11,1999-11-21,20,23,-3,0,1483.0269612340771,1489.2229064408561
1999_11_DAL_ARI,1999,ARI,DAL,REG,11,1999-11-21,13,9,4,1,1472.6838753676534,1505.9149004816575
1999_11_DET_GB,1999,GB,DET,REG,11,1999-11-21,26,17,9,1,1500.8650750381005,1525.3251938132692
1999_11_IND_PHI,1999,PHI,IND,REG,11,1999-11-21,17,44,-27,0,1437.008480360818,1565.5783050384796
1999_11_NE_MIA,1999,MIA,NE,REG,11,1999-11-21,27,17,10,1,1563.5847289944834,1529.0771372387578
1999_11_NO_JAX,1999,JAX,NO,REG,11,1999-11-21,41,23,18,1,1595.6661299490866,1434.6618245346929
1999_11_NYG_WAS,1999,WAS,NYG,REG,11,1999-11-21,23,13,10,1,1525.5209400419283,1501.8431252594094
1999_11_OAK_DEN,1999,DEN,LV,REG,11,1999-11-22,27,21,6,1,1459.2866733249198,1501.3081228423507
1999_11_PIT_TEN,1999,TEN,PIT,REG,11,1999-11-21,16,10,6,1,1567.013946175578,1504.6557219935116
1999_11_SEA_KC,1999,KC,SEA,REG,11,1999-11-21,19,31,-12,0,1497.7592379854093,1564.4268458091037
1999_11_STL_SF,1999,SF,LA,REG,11,1999-11-21,7,23,-16,0,1458.4313328420387,1561.4537673457255
1999_12_ARI_NYG,1999,NYG,ARI,REG,12,1999-11-28,24,34,-10,0,1492.6804309338045,1481.8465696932583
1999_12_ATL_CAR,1999,CAR,ATL,REG,12,1999-11-28,34,28,6,1,1489.6373986517654,1416.5286624197458
1999_12_CHI_DET,1999,DET,CHI,REG,12,1999-11-25,21,17,4,1,1536.3605773544612,1478.1875228996641
1999_12_CIN_PIT,1999,PIT,CIN,REG,12,1999-11-28,20,27,-7,0,1497.6934230965587,1402.6386783260482
1999_12_GB_SF,1999,SF,GB,REG,12,1999-11-29,3,20,-17,0,1447.2160283593057,1512.0803795208335
1999_12_JAX_BAL,1999,BAL,JAX,REG,12,1999-11-28,23,30,-7,0,1478.0171007784782,1608.5922168980912
1999_12_KC_OAK,1999,LV,KC,REG,12,1999-11-28,34,37,-3,0,1491.4102644071238,1507.6570964206362
1999_12_MIA_DAL,1999,DAL,MIA,REG,12,1999-11-25,20,0,20,1,1514.2701073423414,1555.2295221337995
1999_12_NE_BUF,1999,BUF,NE,REG,12,1999-11-28,17,7,10,1,1544.2762101568997,1518.9316923877973
1999_12_NO_STL,1999,LA,NO,REG,12,1999-11-28,43,12,31,1,1574.9493158101707,1421.1662760702477
1999_12_NYJ_IND,1999,IND,NYJ,REG,12,1999-11-28,13,6,7,1,1578.2408781029415,1458.1244621205378
1999_12_PHI_WAS,1999,WAS,PHI,REG,12,1999-11-28,20,17,3,1,1538.0148127218622,1424.5146076808842
1999_12_SD_MIN,1999,MIN,LAC,REG,12,1999-11-28,35,27,8,1,1531.0179011576504,1471.9679602752092
1999_12_TB_SEA,1999,SEA,TB,REG,12,1999-11-28,3,16,-13,0,1555.624391305587,1531.421681654937
1999_12_TEN_CLE,1999,CLE,TEN,REG,12,1999-11-28,21,33,-12,0,1401.2968951086425,1581.1202628857977
1999_13_CLE_SD,1999,LAC,CLE,REG,13,1999-12-05,23,10,13,1,1483.974440574209,1389.2904148096427
1999_13_DAL_NE,1999,NE,DAL,REG,13,1999-12-05,13,6,7,1,1529.0658555401922,1504.1359441899465
1999_13_GB_CHI,1999,CHI,GB,REG,13,1999-12-05,19,35,-16,0,1467.215090763622,1523.0528116568757
1999_13_IND_MIA,1999,MIA,IND,REG,13,1999-12-05,34,37,-3,0,1544.5681688339496,1588.9022314027914
1999_13_KC_DEN,1999,DEN,KC,REG,13,1999-12-05,10,16,-6,0,1447.903386323494,1519.040383422062
1999_13_MIN_TB,1999,TB,MIN,REG,13,1999-12-06,24,17,7,1,1541.4333033866283,1521.006279425959
1999_13_NO_ATL,1999,ATL,NO,REG,13,1999-12-05,35,12,23,1,1426.3951890960072,1411.2997493939863
1999_13_NYJ_NYG,1999,NYG,NYJ,REG,13,1999-12-05,41,28,13,1,1503.6717649609288,1447.1331280934135
1999_13_PHI_ARI,1999,ARI,PHI,REG,13,1999-12-05,21,17,4,1,1493.481899825741,1412.8792775484014
1999_13_PIT_JAX,1999,JAX,PIT,REG,13,1999-12-02,20,6,14,1,1621.6799818032935,1484.6056581913565
1999_13_SEA_OAK,1999,LV,SEA,REG,13,1999-12-05,30,21,9,1,1499.5827945676351,1547.4518611450758
1999_13_SF_CIN,1999,CIN,SF,REG,13,1999-12-05,44,30,14,1,1411.3626334229425,1438.4920732624114
1999_13_STL_CAR,1999,CAR,LA,REG,13,1999-12-05,21,34,-13,0,1477.2301122075364,1587.3566022543996
1999_13_TEN_BAL,1999,BAL,TEN,REG,13,1999-12-05,41,14,27,1,1485.1337010876566,1574.0036625766193
1999_13_WAS_DET,1999,DET,WAS,REG,13,1999-12-05,33,17,16,1,1546.3129649930308,1528.0624250832925
1999_14_ARI_WAS,1999,WAS,ARI,REG,14,1999-12-12,28,3,25,1,1539.054458950851,1482.4898659581825
1999_14_ATL_SF,1999,SF,ATL,REG,14,1999-12-12,26,7,19,1,1448.840108950745,1416.0471534076737
1999_14_BAL_PIT,1999,PIT,BAL,REG,14,1999-12-12,24,31,-7,0,1474.59045990679,1495.148899372223
1999_14_CAR_GB,1999,GB,CAR,REG,14,1999-12-12,31,33,-2,0,1514.3641006812966,1485.9188231831156
1999_14_CLE_CIN,1999,CIN,CLE,REG,14,1999-12-12,44,28,16,1,1421.9970696589223,1378.6559785736629
1999_14_DEN_JAX,1999,JAX,DEN,REG,14,1999-12-13,27,24,3,1,1636.3024843174976,1433.28088380929
1999_14_DET_TB,1999,TB,DET,REG,14,1999-12-12,23,16,7,1,1551.292864669724,1536.4534037099352
1999_14_MIA_NYJ,1999,NYJ,MIA,REG,14,1999-12-12,28,20,8,1,1454.4000000133308,1537.3012969140323
1999_14_MIN_KC,1999,KC,MIN,REG,14,1999-12-12,31,28,3,1,1528.983800990504,1511.062861857517
1999_14_NE_IND,1999,IND,NE,REG,14,1999-12-12,20,15,5,1,1600.607632832806,1517.3604541101774
1999_14_NYG_BUF,1999,BUF,NYG,REG,14,1999-12-12,17,19,-2,0,1535.4396081483249,1512.5083669695036
1999_14_OAK_TEN,1999,TEN,LV,REG,14,1999-12-09,21,14,7,1,1586.1134979016306,1487.4729592426238
1999_14_PHI_DAL,1999,DAL,PHI,REG,14,1999-12-12,20,10,10,1,1516.7037419716526,1400.3114797666954
1999_14_SD_SEA,1999,SEA,LAC,REG,14,1999-12-12,16,19,-3,0,1539.2588270997674,1492.1674746195174
1999_14_STL_NO,1999,NO,LA,REG,14,1999-12-12,14,30,-16,0,1396.625796366892,1602.030555281494
1999_15_ATL_TEN,1999,TEN,ATL,REG,15,1999-12-19,30,17,13,1,1600.6516157644583,1401.509035544846
1999_15_BUF_ARI,1999,ARI,BUF,REG,15,1999-12-19,21,31,-10,0,1470.9775403316282,1546.951933774879
1999_15_DET_CHI,1999,CHI,DET,REG,15,1999-12-19,28,10,18,1,1475.2482207150024,1528.4202737585547
1999_15_GB_MIN,1999,MIN,GB,REG,15,1999-12-20,24,20,4,1,1520.9678474255907,1504.4591151132229
1999_15_JAX_CLE,1999,CLE,JAX,REG,15,1999-12-19,14,24,-10,0,1362.3550733449413,1652.6033895462192
1999_15_NE_PHI,1999,PHI,NE,REG,15,1999-12-19,24,9,15,1,1407.0644627807267,1510.6074710961461
1999_15_NO_BAL,1999,BAL,NO,REG,15,1999-12-19,31,8,23,1,1507.910980152785,1383.86371558633
1999_15_NYG_STL,1999,LA,NYG,REG,15,1999-12-19,31,10,21,1,1614.551662969012,1499.9872592819854
1999_15_NYJ_DAL,1999,DAL,NYJ,REG,15,1999-12-19,21,22,-1,0,1508.4780099036836,1462.6257320812997
1999_15_PIT_KC,1999,KC,PIT,REG,15,1999-12-18,35,19,16,1,1540.5367006993906,1463.0375601979035
1999_15_SD_MIA,1999,MIA,LAC,REG,15,1999-12-19,12,9,3,1,1548.593094347231,1480.8756771863186
1999_15_SEA_DEN,1999,DEN,SEA,REG,15,1999-12-19,36,30,6,1,1440.32180278865,1532.2179081204072
1999_15_SF_CAR,1999,CAR,SF,REG,15,1999-12-18,41,24,17,1,1496.9820011092513,1437.7769310246092
1999_15_TB_OAK,1999,LV,TB,REG,15,1999-12-19,45,0,45,1,1495.6564593426726,1543.109364569675
1999_15_WAS_IND,1999,IND,WAS,REG,15,1999-12-19,24,21,3,1,1612.3609697597235,1527.3011220239337
1999_16_ARI_ATL,1999,ATL,ARI,REG,16,1999-12-26,37,14,23,1,1409.5357971841163,1462.950778692358
1999_16_BUF_NE,1999,NE,BUF,REG,16,1999-12-26,10,13,-3,0,1499.5651924117149,1557.9942124593103
1999_16_CAR_PIT,1999,PIT,CAR,REG,16,1999-12-26,30,20,10,1,1472.0636574077125,1487.9559038994423
